Account Number,Suite,House Number,Street Name,Garage,Neighbourhood ID,Neighbourhood,Ward,Assessed Value,Latitude,Longitude,Point Location,Assessment Class % 1,Assessment Class % 2,Assessment Class % 3,Assessment Class 1,Assessment Class 2,Assessment Class 3
1078526,,8008,152C AVENUE NW,Y,2410,KILKENNY,tastawiyiniwak Ward,356500,53.6155886,-113.4660785,POINT (-113.46607849326386 53.61558860104087),100,,,RESIDENTIAL,,
1278993,,9402,153 STREET NW,Y,4500,SHERWOOD,sipiwiyiniwak Ward,390000,53.53013477,-113.5855498,POINT (-113.58554980975299 53.53013477294504),100,,,RESIDENTIAL,,
1290923,104,9408,149 STREET NW,N,4500,SHERWOOD,sipiwiyiniwak Ward,99500,53.53019751,-113.5785357,POINT (-113.57853573530407 53.53019751261466),100,,,RESIDENTIAL,,
1202605,111,2624,MILL WOODS ROAD EAST NW,N,6770,WEINLOS,Sspomitapi Ward,99000,53.45885364,-113.408218,POINT (-113.40821799717817 53.45885364204667),100,,,RESIDENTIAL,,
1131663,,10621,151 STREET NW,N,4090,CANORA,Nakota Isga Ward,246500,53.55023991,-113.5810951,POINT (-113.58109505660569 53.550239911770284),100,,,RESIDENTIAL,,
1165067,,8012,169 STREET NW,Y,4140,ELMWOOD,sipiwiyiniwak Ward,363500,53.51460439,-113.6124149,POINT (-113.61241494534549 53.51460438855836),100,,,RESIDENTIAL,,
1178078,2005,10135,SASKATCHEWAN DRIVE NW,N,5480,STRATHCONA,papastew Ward,244500,53.52417325,-113.4926579,POINT (-113.4926579174034 53.5241732479624),100,,,RESIDENTIAL,,
1310408,,10159,158 AVENUE NW,N,3040,BEAUMARIS,tastawiyiniwak Ward,197000,53.61879064,-113.4983,POINT (-113.49830002095884 53.61879064397748),100,,,RESIDENTIAL,,
1246248,102,1620,48 STREET NW,N,6580,POLLARD MEADOWS,Sspomitapi Ward,82000,53.44606656,-113.4142418,POINT (-113.41424184432313 53.446066561734504),100,,,RESIDENTIAL,,
1035633,,17712,95 STREET NW,N,2450,LAGO LINDO,tastawiyiniwak Ward,283500,53.63970521,-113.4887456,POINT (-113.48874561272167 53.63970521353035),100,,,RESIDENTIAL,,
1106350,,15704,131 AVENUE NW,N,4320,MISTATIM INDUSTRIAL,Anirniq Ward,74000,53.59137533,-113.5942415,POINT (-113.59424151199325 53.59137533054808),100,,,COMMERCIAL,,
1044866,,14936,43 AVENUE NW,Y,5340,RAMSAY HEIGHTS,pihêsiwin Ward,232000,53.4802337,-113.5794997,POINT (-113.57949971146672 53.48023370488944),100,,,RESIDENTIAL,,
1188549,,14844,43 AVENUE NW,Y,5340,RAMSAY HEIGHTS,pihêsiwin Ward,235000,53.48020888,-113.5784413,POINT (-113.5784413478429 53.480208875987955),100,,,RESIDENTIAL,,
1114024,,12260,WINTERBURN ROAD NW,N,4477,KINGLET GARDENS,Nakota Isga Ward,1500,53.57747121,-113.695404,POINT (-113.69540404400946 53.57747121254758),100,,,COMMERCIAL,,
1074640,,831,77 AVENUE NW,N,6690,SOUTHEAST INDUSTRIAL,Sspomitapi Ward,1262000,53.51291695,-113.358706,POINT (-113.35870597067797 53.512916954242655),100,,,COMMERCIAL,,
1290980,201,9408,149 STREET NW,N,4500,SHERWOOD,sipiwiyiniwak Ward,73000,53.53019751,-113.5785357,POINT (-113.57853573530407 53.53019751261466),100,,,RESIDENTIAL,,
1020791,,170,WOLF WILLOW CRESCENT NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,573000,53.50213713,-113.5954193,POINT (-113.59541930161105 53.50213712806277),100,,,RESIDENTIAL,,
1028216,38,10453,20 AVENUE NW,N,5250,KEHEEWIN,Ipiihkoohkanipiaohtsi Ward,191000,53.44972173,-113.4984876,POINT (-113.49848762659067 53.44972172727261),100,,,RESIDENTIAL,,
1211523,,9217,163 STREET NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,306500,53.52761679,-113.6022692,POINT (-113.60226915342196 53.52761678931043),100,,,RESIDENTIAL,,
1310606,14,10172,118 STREET NW,N,1150,OLIVER,O-day'min Ward,241000,53.54257214,-113.5255078,POINT (-113.52550781043476 53.542572136876274),100,,,RESIDENTIAL,,
1076041,101,9333,50 STREET NW,N,6180,EASTGATE BUSINESS PARK,Métis Ward,218500,53.53143232,-113.4172845,POINT (-113.41728454007942 53.53143231618712),100,,,COMMERCIAL,,
1078799,,7712,152B AVENUE NW,Y,2410,KILKENNY,tastawiyiniwak Ward,381000,53.61475599,-113.4623498,POINT (-113.4623498187698 53.614755989275075),100,,,RESIDENTIAL,,
1016328,,71,WOLF CRESCENT NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,682500,53.5070734,-113.5987645,POINT (-113.59876454956932 53.50707340493547),100,,,RESIDENTIAL,,
1132232,,14749,25 STREET NW,N,2280,FRASER,Dene Ward,140000,53.6107272,-113.3764747,POINT (-113.37647466713244 53.610727203086036),100,,,RESIDENTIAL,,
1042779,28,15710,BEAUMARIS ROAD NW,N,3040,BEAUMARIS,tastawiyiniwak Ward,186500,53.61796617,-113.5032867,POINT (-113.50328669242306 53.61796616572657),100,,,RESIDENTIAL,,
1096932,,17703,93 STREET NW,Y,2450,LAGO LINDO,tastawiyiniwak Ward,523000,53.63930304,-113.4840724,POINT (-113.48407243207733 53.63930303960163),100,,,RESIDENTIAL,,
1229095,3,18010,98 AVENUE NW,N,4240,LA PERLE,Nakota Isga Ward,164000,53.53457465,-113.6325667,POINT (-113.63256667086661 53.534574653926015),100,,,RESIDENTIAL,,
1201342,,5407,186 STREET NW,N,4220,JAMIESON PLACE,sipiwiyiniwak Ward,310500,53.4909398,-113.6451773,POINT (-113.64517734033173 53.490939804478415),100,,,RESIDENTIAL,,
1281435,105,1945,105 STREET NW,N,5250,KEHEEWIN,Ipiihkoohkanipiaohtsi Ward,81500,53.44909954,-113.4995052,POINT (-113.49950518146967 53.44909954229303),100,,,RESIDENTIAL,,
1133412,105,6212,180 STREET NW,N,4380,ORMSBY PLACE,sipiwiyiniwak Ward,118500,53.4972587,-113.6349593,POINT (-113.63495926233547 53.49725870292608),100,,,RESIDENTIAL,,
1121425,,8411,152 STREET NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,389000,53.51716121,-113.5821154,POINT (-113.58211540407626 53.51716120550184),100,,,RESIDENTIAL,,
1040633,,7323,46 STREET NW,N,6780,WEIR INDUSTRIAL,Métis Ward,1965000,53.50918992,-113.4117667,POINT (-113.41176665532555 53.509189924331665),100,,,COMMERCIAL,,
1312156,,3570,42 STREET NW,N,6530,MINCHAU,Sspomitapi Ward,177500,53.46633026,-113.4071555,POINT (-113.40715554075486 53.46633026354483),100,,,RESIDENTIAL,,
1179316,,8319,164 STREET NW,Y,4140,ELMWOOD,sipiwiyiniwak Ward,303500,53.5176641,-113.6050684,POINT (-113.60506841313207 53.51766410264746),100,,,RESIDENTIAL,,
1212802,402,11826,100 AVENUE NW,N,1150,OLIVER,O-day'min Ward,645500,53.53994991,-113.5262926,POINT (-113.52629261997346 53.53994990978465),100,,,RESIDENTIAL,,
1083500,,,,N,1150,OLIVER,O-day'min Ward,8000,53.54077191,-113.532136,POINT (-113.5321360279101 53.540771906982826),100,,,RESIDENTIAL,,
1181502,,7712,189 STREET NW,Y,4270,LYMBURN,sipiwiyiniwak Ward,358000,53.51092577,-113.6491074,POINT (-113.64910735146574 53.51092576895176),100,,,RESIDENTIAL,,
1053834,,4132,38 STREET NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,327000,53.47813321,-113.3992896,POINT (-113.39928963534386 53.478133208970554),100,,,RESIDENTIAL,,
1154590,,8103,160 STREET NW,Y,4140,ELMWOOD,sipiwiyiniwak Ward,329500,53.51539137,-113.5978594,POINT (-113.59785943510315 53.51539137204319),100,,,RESIDENTIAL,,
1057744,,42,KINISKI CRESCENT NW,N,6370,KINISKI GARDENS,Sspomitapi Ward,291000,53.47894639,-113.4003658,POINT (-113.40036575869665 53.47894639174941),100,,,RESIDENTIAL,,
1209782,,16049,95 AVENUE NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,337500,53.5312855,-113.6010078,POINT (-113.60100784263562 53.53128549692558),100,,,RESIDENTIAL,,
1291541,33,9436,149 STREET NW,N,4500,SHERWOOD,sipiwiyiniwak Ward,54500,53.5306764,-113.5785122,POINT (-113.57851215939672 53.53067640218667),100,,,RESIDENTIAL,,
1027382,33,3812,20 AVENUE NW,N,6150,DALY GROVE,Sspomitapi Ward,156000,53.4517632,-113.4007963,POINT (-113.40079628987434 53.451763204171534),100,,,RESIDENTIAL,,
1115245,,15015,75 AVENUE NW,Y,4430,RIO TERRACE,sipiwiyiniwak Ward,646000,53.50787175,-113.5809446,POINT (-113.58094456673385 53.50787175287048),100,,,RESIDENTIAL,,
1215698,,8707,164 STREET NW,Y,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,323000,53.52060442,-113.6039664,POINT (-113.60396637224443 53.520604424797384),100,,,RESIDENTIAL,,
1025907,10,12715,81 STREET NW,N,2020,BALWIN,tastawiyiniwak Ward,63500,53.58543066,-113.4650379,POINT (-113.46503788755483 53.58543065508136),100,,,RESIDENTIAL,,
1283886,,7320,184 STREET NW,N,4270,LYMBURN,sipiwiyiniwak Ward,49500,53.50758882,-113.6443335,POINT (-113.64433352503171 53.50758882060262),100,,,RESIDENTIAL,,
1270057,,8941,152 STREET NW,Y,4230,JASPER PARK,sipiwiyiniwak Ward,367000,53.52249481,-113.5828161,POINT (-113.58281611745097 53.52249481004666),100,,,RESIDENTIAL,,
1057926,,74,KINISKI CRESCENT NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,286000,53.47883755,-113.4018534,POINT (-113.40185335178411 53.478837549395735),100,,,RESIDENTIAL,,
1038686,201,12036,66 STREET NW,N,2550,MONTROSE,Métis Ward,56000,53.57462467,-113.4434274,POINT (-113.4434273893245 53.57462466870548),100,,,RESIDENTIAL,,
1306851,,6603,177 STREET NW,N,4080,CALLINGWOOD SOUTH,sipiwiyiniwak Ward,6364000,53.50221626,-113.6267442,POINT (-113.62674417033563 53.50221625792773),100,,,COMMERCIAL,,
1287226,1411,10145,121 STREET NW,N,1150,OLIVER,O-day'min Ward,113000,53.5421619,-113.5301833,POINT (-113.53018329065722 53.542161896253226),100,,,RESIDENTIAL,,
1119197,,21127,108 AVENUE NW,N,4650,WINTERBURN INDUSTRIAL AREA EAST,Nakota Isga Ward,445500,53.55293008,-113.6828916,POINT (-113.68289161497691 53.55293007735593),100,,,COMMERCIAL,,
1204940,21,1904,48 STREET NW,N,6580,POLLARD MEADOWS,Sspomitapi Ward,171000,53.45079162,-113.4151971,POINT (-113.41519713427994 53.45079162276295),100,,,RESIDENTIAL,,
1124700,20,4403,RIVERBEND ROAD NW,N,5340,RAMSAY HEIGHTS,pihêsiwin Ward,223000,53.48156209,-113.5788299,POINT (-113.57882985906069 53.481562086954206),100,,,RESIDENTIAL,,
1014000,,190,WESTRIDGE ROAD NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,469500,53.51080863,-113.6129835,POINT (-113.61298350069255 53.51080863460019),100,,,RESIDENTIAL,,
1097625,,9422,177 AVENUE NW,N,2450,LAGO LINDO,tastawiyiniwak Ward,287500,53.6395131,-113.4877114,POINT (-113.48771144551172 53.63951309681546),100,,,RESIDENTIAL,,
1357920,,9910,158 STREET NW,Y,4180,GLENWOOD,Nakota Isga Ward,462000,53.53786996,-113.5943153,POINT (-113.5943153176685 53.5378699602979),100,,,RESIDENTIAL,,
1220318,,9308,169 STREET NW,N,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,319500,53.52907707,-113.6143077,POINT (-113.61430765800579 53.52907707018707),100,,,RESIDENTIAL,,
1258748,,9105,154 STREET NW,Y,4230,JASPER PARK,sipiwiyiniwak Ward,320500,53.52526322,-113.5863272,POINT (-113.58632720131497 53.52526321675841),100,,,RESIDENTIAL,,
1221753,,8805,169 STREET NW,Y,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,337000,53.52404879,-113.6135984,POINT (-113.61359844270423 53.524048791194325),100,,,RESIDENTIAL,,
1208024,,16046,93 AVENUE NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,355500,53.52863156,-113.6008337,POINT (-113.60083374988113 53.52863156011066),100,,,RESIDENTIAL,,
1118835,,20340,110 AVENUE NW,N,4650,WINTERBURN INDUSTRIAL AREA EAST,Nakota Isga Ward,705500,53.55724308,-113.6721392,POINT (-113.67213922447135 53.557243079721665),100,,,COMMERCIAL,,
1253004,,9145,156 STREET NW,N,4230,JASPER PARK,sipiwiyiniwak Ward,597500,53.52636642,-113.5898136,POINT (-113.5898136043101 53.526366417121004),100,,,COMMERCIAL,,
1061720,,2213,114 STREET NW,N,5460,SKYRATTLER,Ipiihkoohkanipiaohtsi Ward,210000,53.45318822,-113.5236036,POINT (-113.52360360150372 53.45318821847791),100,,,RESIDENTIAL,,
1242890,105,2204,118 STREET NW,N,5460,SKYRATTLER,Ipiihkoohkanipiaohtsi Ward,158000,53.45286153,-113.5330855,POINT (-113.5330855490615 53.452861531163755),100,,,RESIDENTIAL,,
1102391,,20303,FORT ROAD NE,N,2670,RURAL NORTH EAST HORSE HILL,Dene Ward,47500,53.66857509,-113.3261342,POINT (-113.32613417260372 53.66857509363476),100,,,FARMLAND,,
1247121,402,4810,MILL WOODS ROAD SOUTH NW,N,6580,POLLARD MEADOWS,Sspomitapi Ward,86500,53.44606656,-113.4142418,POINT (-113.41424184432313 53.446066561734504),100,,,RESIDENTIAL,,
1179035,,,,N,5480,STRATHCONA,papastew Ward,7000,53.52417325,-113.4926579,POINT (-113.4926579174034 53.5241732479624),100,,,RESIDENTIAL,,
1060557,55,1415,62 STREET NW,N,6670,SAKAW,Karhiio Ward,140500,53.4437502,-113.4311812,POINT (-113.43118122134344 53.44375019658075),100,,,RESIDENTIAL,,
1295062,501,12225,STONY PLAIN ROAD NW,N,1150,OLIVER,O-day'min Ward,118500,53.54632952,-113.5336275,POINT (-113.53362754335504 53.54632952208474),100,,,RESIDENTIAL,,
1054873,,3506,41A AVENUE NW,N,6370,KINISKI GARDENS,Sspomitapi Ward,299500,53.47740792,-113.3946938,POINT (-113.39469382375744 53.477407916459455),100,,,RESIDENTIAL,,
1030832,,3303,138 AVENUE NW,N,2320,HAIRSINE,Dene Ward,151500,53.60004587,-113.3926229,POINT (-113.39262285310896 53.60004586685922),100,,,RESIDENTIAL,,
1242874,104,2204,118 STREET NW,N,5460,SKYRATTLER,Ipiihkoohkanipiaohtsi Ward,150000,53.45286153,-113.5330855,POINT (-113.5330855490615 53.452861531163755),100,,,RESIDENTIAL,,
1074483,,7709,16 STREET NW,N,6690,SOUTHEAST INDUSTRIAL,Sspomitapi Ward,1777000,53.51411214,-113.3668918,POINT (-113.36689178091359 53.51411213882908),100,,,COMMERCIAL,,
1160944,,18908,86A AVENUE NW,Y,4020,ALDERGROVE,Nakota Isga Ward,354000,53.52098676,-113.6495538,POINT (-113.64955376312561 53.52098676181207),100,,,RESIDENTIAL,,
1021096,,230,WOLF WILLOW CRESCENT NW,Y,4610,WESTRIDGE,sipiwiyiniwak Ward,581000,53.50419201,-113.5971136,POINT (-113.5971136047703 53.50419201304935),100,,,RESIDENTIAL,,
1201680,104,2620,MILL WOODS ROAD EAST NW,N,6770,WEINLOS,Sspomitapi Ward,98000,53.45885364,-113.408218,POINT (-113.40821799717817 53.45885364204667),100,,,RESIDENTIAL,,
1147792,,7906,156 STREET NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,365500,53.51310351,-113.5907421,POINT (-113.5907421267408 53.51310350515676),100,,,RESIDENTIAL,,
1182054,,8904,MEADOWLARK ROAD NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,337000,53.52324831,-113.5932121,POINT (-113.59321206373504 53.52324830874794),100,,,RESIDENTIAL,,
1028752,50,10453,20 AVENUE NW,N,5250,KEHEEWIN,Ipiihkoohkanipiaohtsi Ward,199500,53.44972173,-113.4984876,POINT (-113.49848762659067 53.44972172727261),100,,,RESIDENTIAL,,
1245927,212,1628,48 STREET NW,N,6580,POLLARD MEADOWS,Sspomitapi Ward,84000,53.44606656,-113.4142418,POINT (-113.41424184432313 53.446066561734504),100,,,RESIDENTIAL,,
1354018,406,10511,19 AVENUE NW,N,5250,KEHEEWIN,Ipiihkoohkanipiaohtsi Ward,113000,53.4476592,-113.5019041,POINT (-113.50190409199921 53.447659200085596),100,,,RESIDENTIAL,,
1192590,,9331,176 AVENUE NW,N,2450,LAGO LINDO,tastawiyiniwak Ward,290500,53.63784973,-113.4856596,POINT (-113.48565964090608 53.637849725854196),100,,,RESIDENTIAL,,
1225390,,16606,90 AVENUE NW,Y,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,336000,53.52552961,-113.6094852,POINT (-113.6094852251763 53.525529606269195),100,,,RESIDENTIAL,,
1033471,,18417,96A AVENUE NW,N,4240,LA PERLE,Nakota Isga Ward,294500,53.5319698,-113.6408503,POINT (-113.64085028322974 53.53196979665276),100,,,RESIDENTIAL,,
1091743,,40,PATRICIA CRESCENT NW,Y,4390,PATRICIA HEIGHTS,sipiwiyiniwak Ward,465500,53.51074974,-113.6080825,POINT (-113.60808245978508 53.51074974114458),100,,,RESIDENTIAL,,
1075126,,3703,101 AVENUE NW,N,6180,EASTGATE BUSINESS PARK,Métis Ward,564500,53.53916865,-113.4013461,POINT (-113.40134607206407 53.53916864899705),100,,,COMMERCIAL,,
1182591,,15717,89A AVENUE NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,375000,53.5244326,-113.5951321,POINT (-113.59513210639632 53.52443260354093),100,,,RESIDENTIAL,,
1122357,,15231,87 AVENUE NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,322500,53.51912556,-113.5843081,POINT (-113.58430813426507 53.51912555972936),100,,,RESIDENTIAL,,
1279504,,9412,155 STREET NW,Y,4500,SHERWOOD,sipiwiyiniwak Ward,285500,53.53028739,-113.5890599,POINT (-113.58905993485963 53.530287393576124),100,,,RESIDENTIAL,,
1054584,,4105,36 STREET NW,Y,6370,KINISKI GARDENS,Sspomitapi Ward,335000,53.47648739,-113.3957189,POINT (-113.39571894684461 53.47648739189914),100,,,RESIDENTIAL,,
1024009,,,,N,6730,TERRACE HEIGHTS,Métis Ward,0,53.54068578,-113.4428923,POINT (-113.44289232145253 53.54068577579347),100,,,COMMERCIAL,,
1200641,,15729,92A AVENUE NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,468000,53.52728395,-113.5936113,POINT (-113.59361130919537 53.52728394575707),100,,,RESIDENTIAL,,
1098185,,17816,91 STREET NW,N,2450,LAGO LINDO,tastawiyiniwak Ward,327000,53.64054193,-113.4792634,POINT (-113.47926335587556 53.640541934700416),100,,,RESIDENTIAL,,
1307008,,9836,149 STREET NW,N,4580,WEST JASPER PLACE,Nakota Isga Ward,1406000,53.53694365,-113.57855,POINT (-113.5785499617625 53.536943653921895),100,,,OTHER RESIDENTIAL,,
1148964,,7918,158 STREET NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,362500,53.51390147,-113.5955923,POINT (-113.59559226529039 53.51390146866558),100,,,RESIDENTIAL,,
1209634,,9425,163 STREET NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,315000,53.53110676,-113.6021798,POINT (-113.60217983569835 53.53110675957494),100,,,RESIDENTIAL,,
1073683,,1,MAPLE RIDGE DRIVE NW,N,6410,MAPLE RIDGE,Sspomitapi Ward,27146000,53.4999031,-113.362846,POINT (-113.3628459598799 53.49990310308615),100,,,OTHER RESIDENTIAL,,
1086560,1006,12141,JASPER AVENUE NW,N,1150,OLIVER,O-day'min Ward,174000,53.54077191,-113.532136,POINT (-113.5321360279101 53.540771906982826),100,,,RESIDENTIAL,,
1012095,,11938,122 STREET NW,N,3350,PRINCE CHARLES,Anirniq Ward,244500,53.57311035,-113.5329527,POINT (-113.53295274526944 53.57311035486171),100,,,RESIDENTIAL,,
1284819,,9925,154 STREET NW,Y,4580,WEST JASPER PLACE,Nakota Isga Ward,435000,53.53856886,-113.5863065,POINT (-113.58630653976944 53.53856885564962),100,,,RESIDENTIAL,,
1191758,,9331,175 AVENUE NW,N,2450,LAGO LINDO,tastawiyiniwak Ward,279500,53.63697853,-113.4858587,POINT (-113.48585869236189 53.63697852826946),100,,,RESIDENTIAL,,
1297167,505,12841,65 STREET NW,N,2080,BELVEDERE,Dene Ward,64000,53.58718248,-113.4408551,POINT (-113.4408550973522 53.58718248293548),100,,,RESIDENTIAL,,
1108380,,15623,CAMPBELL ROAD NW,N,3360,RAMPART INDUSTRIAL,Anirniq Ward,5326000,53.6179442,-113.5842337,POINT (-113.58423373303108 53.61794420157139),100,,,RESIDENTIAL,,
1053941,,4210,38 STREET NW,N,6370,KINISKI GARDENS,Sspomitapi Ward,290500,53.47916377,-113.3993482,POINT (-113.3993481516847 53.47916376572234),100,,,RESIDENTIAL,,
1273960,,9742,155 STREET NW,Y,4580,WEST JASPER PLACE,Nakota Isga Ward,338000,53.5357448,-113.5890517,POINT (-113.58905174722082 53.53574480045439),100,,,RESIDENTIAL,,
1247568,309,1624,48 STREET NW,N,6580,POLLARD MEADOWS,Sspomitapi Ward,92000,53.44606656,-113.4142418,POINT (-113.41424184432313 53.446066561734504),100,,,RESIDENTIAL,,
1264563,304,14808,26 STREET NW,N,2280,FRASER,Dene Ward,65500,53.61197346,-113.3794813,POINT (-113.37948128519791 53.61197346411985),100,,,RESIDENTIAL,,
1069418,,441,111 STREET SW,Y,5451,RICHFORD,Ipiihkoohkanipiaohtsi Ward,1041500,53.42868576,-113.5159246,POINT (-113.51592458952635 53.42868575834789),100,,,RESIDENTIAL,,
1143148,,8410,156 STREET NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,312500,53.51780812,-113.59073,POINT (-113.590730018055 53.51780812286909),100,,,RESIDENTIAL,,
1086743,1403,12141,JASPER AVENUE NW,N,1150,OLIVER,O-day'min Ward,114000,53.54077191,-113.532136,POINT (-113.5321360279101 53.540771906982826),100,,,RESIDENTIAL,,
1281377,110,1945,105 STREET NW,N,5250,KEHEEWIN,Ipiihkoohkanipiaohtsi Ward,82000,53.44909954,-113.4995052,POINT (-113.49950518146967 53.44909954229303),100,,,RESIDENTIAL,,
1188143,,16119,88A AVENUE NW,Y,4310,MEADOWLARK PARK,sipiwiyiniwak Ward,378000,53.52523217,-113.600218,POINT (-113.60021803986739 53.5252321659955),100,,,RESIDENTIAL,,
1018449,,11810,141 AVENUE NW,N,3090,CARLISLE,Anirniq Ward,2994000,53.60421905,-113.5263347,POINT (-113.52633467570122 53.60421904998291),100,,,COMMERCIAL,,
1216563,,8702,163 STREET NW,Y,4590,WEST MEADOWLARK PARK,sipiwiyiniwak Ward,388000,53.51985778,-113.6032628,POINT (-113.60326284641917 53.51985778016238),100,,,RESIDENTIAL,,
1125236,,8351,151 STREET NW,Y,4280,LYNNWOOD,sipiwiyiniwak Ward,411000,53.51668493,-113.5806879,POINT (-113.58068790358558 53.516684926467406),100,,,RESIDENTIAL,,
1076959,,2903,120 AVENUE NE,N,2160,CLOVER BAR AREA,Dene Ward,894500,53.57295016,-113.3009083,POINT (-113.30090825060219 53.57295015866492),100,,,COMMERCIAL,,
1259795,,9116,152 STREET NW,Y,4230,JASPER PARK,sipiwiyiniwak Ward,348000,53.52548319,-113.5838003,POINT (-113.58380026674834 53.525483194775624),100,,,RESIDENTIAL,,
